gene	alpha 0X	alpha 7X	alpha 14X	alpha 21X	alpha 28X	alpha 35X	alpha 42X	alpha 49X	alpha 56X	alpha 63X	alpha 70X	alpha 77X	alpha 84X	alpha 91X	alpha 98X	alpha 105X	alpha 112X	alpha 119X	Elu 0X	Elu 30X	Elu 60X	Elu 90X	Elu 120X	Elu 150X	Elu 180X	Elu 210X	Elu 240X	Elu 270X	Elu 300X	Elu 330X	Elu 360X	Elu 390X	cdc15 10X	cdc15 30X	cdc15 50X	cdc15 70X	cdc15 90X	cdc15 110X	cdc15 130X	cdc15 150X	cdc15 170X	cdc15 190X	cdc15 210X	cdc15 230X	cdc15 250X	cdc15 270X	cdc15 290X	spo 0X	spo 2X	spo 5X	spo 7X	spo 9X	spo 11X	spo5 2X	spo5 7X	spo5 11X	spo  earlyX	spo  midX	heat 0X	heat 10X	heat 20X	heat 40X	heat 80X	heat 160X	dtt 15X	dtt 30X	dtt 60X	dtt 120X	cold 0X	cold 20X	cold 40X	cold 160X	diau aX	diau bX	diau cX	diau dX	diau eX	diau fX	diau gX
YAL023C	-0.851	 -1.9	-0.144	 0.43	 1.46	 1.02	0.908	-0.335	-0.144	-0.335	0.0472	0.507	0.449	0.736	    1	0.583	0.507	-0.258	-2.39	-1.77	-1.65	-0.794	0.143	0.143	0.736	 1.02	0.813	0.908	-0.258	0.736	-0.125	-0.258	 0.66	-1.12	-0.545	-0.373	-0.507	-1.27	-0.889	-0.182	-0.335	-0.794	-1.02	-0.717	-1.27	0.0472	-1.54	-0.0102	 1.06	0.908	-0.296	-1.33	-1.77	0.488	-0.468	-1.08	  2.1	0.717	 1.04	-0.373	0.258	 0.87	  1.2	 1.23	 1.29	-0.717	 2.07	 1.67	 1.41	0.0472	0.545	-0.144	 0.66	 0.66	0.621	-0.22	 0.43	-2.18	-1.77
YAL024C	-0.181	0.472	0.0635	 1.29	0.512	-0.325	0.716	0.859	0.308	0.186	-0.222	-0.263	-0.059	-0.263	0.778	0.166	-0.222	-0.284	-0.0181	-1.26	-0.998	-0.998	-0.508	0.104	-0.181	-0.733	-0.406	-0.508	-0.998	-1.69	-1.79	-0.957	-0.631	0.186	-0.12	 1.61	0.104	 1.86	 1.39	0.676	 2.14	-0.0181	0.492	-0.0181	-2.16	  1.1	-1.37	-0.12	0.798	0.614	 0.39	0.819	-0.0998	-0.222	0.00233	-1.73	 2.25	    2	-0.0998	0.757	0.431	 1.08	-0.549	 2.02	-1.63	-0.957	-1.86	-1.57	0.125	 1.04	  2.2	0.349	-0.222	-0.774	-0.0998	-0.365	-0.855	-0.365	-1.22
YAL025C	0.492	-1.27	-0.328	-0.128	0.534	0.471	0.513	 1.04	 0.65	0.355	0.471	0.187	0.408	0.345	0.0605	0.439	0.776	0.544	-1.04	-0.402	 0.05	0.618	 1.19	0.618	0.198	0.198	-0.107	0.271	-0.128	-0.643	-0.349	-0.328	0.324	 1.57	 1.11	0.429	0.944	 1.02	0.954	0.544	0.471	 1.09	0.723	 1.25	 1.11	0.502	0.912	0.355	-1.43	-0.675	-2.02	-0.58	-0.128	-0.969	-0.549	0.692	-4.04	-3.32	0.029	-2.71	-0.811	-0.58	-0.381	0.00798	0.324	0.0605	-0.854	-0.486	0.292	 0.24	0.187	  1.2	0.818	0.397	0.502	-0.296	-0.349	-1.66	-1.86
YAL026C	-0.179	-0.215	-0.566	-1.03	-0.179	-1.31	-0.196	0.378	-0.381	0.433	-0.788	0.396	-0.196	-0.307	-0.659	0.859	-0.733	0.0805	-1.31	-1.07	0.00655	0.192	-0.307	-0.455	0.155	-0.215	  0.6	 1.34	-0.326	 0.34	-1.23	0.581	-0.825	-0.862	-0.733	-0.696	-1.23	-0.733	-0.751	-0.992	-1.84	-0.196	 -1.1	0.415	-0.973	-1.07	-1.14	0.322	-0.474	0.933	 1.23	 2.24	 2.52	-1.34	  0.6	-0.196	-0.215	0.192	 1.62	 2.68	 1.52	0.507	0.173	0.266	-0.788	-0.862	-0.566	-1.14	0.692	 0.84	 1.67	-1.31	0.155	0.914	0.655	 1.25	 1.15	 2.61	 1.19
YAL029C	 0.55	-0.16	-0.0834	-0.109	 0.17	-0.337	0.322	 1.46	0.728	 1.64	-1.12	 1.18	0.246	0.449	-0.236	 2.05	0.956	 1.41	-1.71	-0.464	0.956	0.525	0.246	0.0434	 1.39	-0.21	0.271	 1.36	  0.5	0.652	-1.17	0.626	-0.287	-0.667	0.0434	-0.109	-1.02	0.119	-0.566	-1.12	0.196	0.347	-0.21	 1.39	-0.794	-0.718	-0.515	  0.5	-0.16	 0.88	0.652	0.626	-0.667	 -1.4	-0.0327	-1.45	-0.667	 1.16	-0.566	-1.91	-1.83	-0.236	-0.16	 1.36	-1.78	-2.19	-0.616	-0.566	-0.388	-0.464	0.956	 1.44	0.196	 2.56	0.652	0.0941	-0.236	-1.78	-2.19
YAL030W	-0.0919	-0.665	0.393	 0.15	0.665	0.635	-0.0617	 1.42	0.241	-0.273	 0.18	 1.27	-0.333	-0.423	0.635	 1.27	0.271	0.575	 1.88	-0.665	-0.0617	0.423	0.393	-1.03	-0.484	-0.484	-0.575	-1.36	-0.243	-0.665	-1.21	-0.484	-0.183	0.786	 0.18	-1.42	-1.88	-0.0617	-0.363	 1.97	 -2.3	-0.0617	-1.27	0.423	-1.54	-0.605	 -2.9	0.423	 1.21	 1.57	 1.39	 1.21	 1.03	0.241	0.575	-1.33	0.968	 2.54	-0.0617	-0.0315	-0.0919	-0.756	-0.423	0.544	-0.183	-1.42	0.0593	-0.363	0.241	-0.665	-1.15	-0.273	-0.0919	0.877	 0.12	-0.484	-1.03	 2.09	 1.27
YAL033W	-0.924	-0.182	-0.587	-0.474	-0.767	-0.429	0.065	0.919	-0.0699	0.515	-0.722	 0.47	0.155	 0.11	-1.06	0.447	0.627	 0.56	0.357	-0.429	-0.272	 1.19	0.177	0.402	0.402	0.245	-0.632	-0.115	 0.47	-0.025	-1.01	-0.0699	-0.025	 1.01	0.785	 0.11	-0.339	-1.28	-0.474	-0.272	 0.29	 0.38	0.245	 2.45	-1.13	-0.564	0.222	 1.01	 0.74	-0.137	0.065	 1.14	-0.00256	0.807	 0.29	-0.025	 1.37	0.222	 5.13	-2.83	-0.969	-1.01	-2.52	 0.56	-0.384	0.515	-1.62	-0.677	-0.722	0.964	-0.677	0.312	-0.025	0.402	-0.137	-0.474	-0.677	-0.137	-1.22
YAL038W	0.225	-0.364	0.0562	0.0923	0.189	-0.172	0.465	0.501	0.477	0.621	0.189	0.381	0.225	0.465	0.561	0.705	0.369	0.873	-0.256	0.0923	0.573	 1.39	0.969	0.513	 1.03	0.417	0.765	0.561	-0.52	0.0923	0.729	0.741	-0.616	-0.52	-0.472	0.00822	0.645	0.561	0.681	0.669	0.453	0.381	0.633	0.477	0.225	0.165	0.153	0.261	-1.69	-2.45	-2.55	-0.64	-1.59	 1.21	-0.316	0.225	-2.74	-4.85	0.693	0.549	-0.496	-0.676	-0.388	 -0.7	0.165	-0.58	0.945	0.345	0.693	0.189	0.465	-0.172	0.453	0.561	0.681	-0.0999	-0.148	-1.25	-2.45
YAL039C	0.408	-0.252	0.0951	-1.02	-0.131	0.165	-0.461	-0.00925	0.0603	-0.00925	-0.0787	-0.513	-0.547	-0.93	 0.13	-0.148	-0.0787	-0.478	-0.826	-0.669	-1.45	0.0603	-0.252	-1.09	-1.45	-0.322	-0.0613	-0.182	-0.582	-0.0266	0.356	-0.426	  2.5	 1.79	0.808	0.965	 0.93	 1.56	 1.81	  2.1	0.982	 1.16	 1.42	 1.79	  2.1	 1.71	 1.95	-0.131	-0.739	-1.09	-0.669	-0.93	-0.582	-0.148	0.235	0.235	-3.02	-2.38	0.426	0.0255	  0.2	0.912	  0.2	-0.131	-1.05	-0.739	-1.09	-1.28	0.165	0.965	-0.0961	0.287	-0.374	-0.252	0.0255	-0.704	0.112	-0.322	-0.965
YAL040C	 1.75	0.692	 1.05	-0.798	-0.305	-0.379	0.593	0.261	 1.12	 1.31	 1.09	0.224	0.0511	-0.256	0.088	 0.15	0.606	    1	-1.09	-0.256	-0.576	0.335	-0.072	-0.0474	-0.687	-0.712	-0.109	0.0511	-0.441	0.396	0.384	0.126	 1.51	 1.67	0.987	0.766	0.975	 1.21	 1.44	0.667	0.446	0.224	0.544	0.606	 0.31	  0.1	0.187	-0.072	-1.95	-2.63	-3.02	-0.231	-2.82	0.606	-0.527	-0.231	-3.12	 -2.4	-0.072	 0.15	-0.256	-0.465	-0.195	0.704	-1.06	-0.687	-0.392	-0.625	0.212	0.433	0.963	0.975	0.126	0.236	0.507	-0.576	-0.687	 0.36	-0.441
YAL041W	-0.306	-1.59	-0.17	0.732	0.185	0.459	0.239	  1.3	-0.197	0.0483	-0.0609	0.513	-0.36	-0.197	 0.54	0.704	 0.54	-0.197	0.732	-0.742	-0.661	0.103	0.158	-1.04	-1.26	-0.551	-0.606	-0.388	 -1.1	-0.497	-0.961	-0.497	0.0483	-0.17	0.267	0.759	 0.95	  1.2	0.868	0.513	-0.0609	0.841	0.158	0.732	0.267	-0.115	-0.742	-0.0609	-1.32	-1.86	-2.46	-2.54	-2.08	0.459	0.0211	-0.606	-0.306	-0.551	0.704	  1.3	  1.8	 1.69	  1.5	 1.41	-0.606	-1.45	0.459	-0.17	 1.25	 1.36	  2.4	 1.88	0.759	0.349	0.595	-1.26	-0.36	-1.78	-0.852
YAL043C	-0.367	-0.302	-0.258	-0.671	-0.562	-0.714	0.219	-0.476	0.155	-0.149	0.133	-1.28	-0.258	-0.714	0.00276	-0.084	-0.714	-0.476	0.219	0.00276	-0.302	 1.02	0.328	-0.019	0.719	-0.127	0.306	-0.41	-0.845	0.523	-0.584	0.892	-0.866	0.306	-0.019	0.328	-1.58	0.892	0.393	-0.0623	-0.019	0.371	-0.084	0.393	-0.866	-0.671	-0.758	-0.0623	0.133	0.00276	 1.61	  1.8	 1.33	-0.562	 2.19	0.697	0.241	0.588	0.914	0.371	0.979	    2	-0.127	 1.67	 -2.1	 -1.8	-0.997	-0.866	0.892	 1.57	 3.02	 1.67	0.133	-0.149	-1.28	-2.43	-1.28	-2.37	-0.801
YAL051W	-0.12	0.666	0.347	-0.661	0.764	-0.194	0.494	 1.01	0.445	0.764	-0.0221	0.543	 0.15	-0.292	 0.42	 1.28	 1.13	0.248	 6.49	-0.366	-0.12	 0.15	-0.243	-0.661	0.543	-0.612	-0.0958	-0.931	-1.28	-2.26	-3.02	-0.243	-0.17	-0.292	-0.0467	0.0762	0.297	 -1.2	0.125	0.199	-0.0958	-0.292	-0.12	0.224	-0.0467	-0.366	-0.0221	0.248	-0.391	-0.563	0.027	0.199	-0.12	0.0516	0.199	0.519	0.027	0.494	-0.317	-0.44	-0.12	0.0516	-0.292	0.347	-0.366	-1.01	-0.686	-0.44	-1.01	-0.17	-0.489	-0.882	-0.0467	 1.03	 1.06	0.641	0.445	-0.366	-0.243
YAL054C	-0.294	0.676	0.0587	0.0698	0.0808	-0.00739	0.0698	-0.305	-0.206	-0.614	-0.449	-0.57	-0.0404	-0.944	-0.129	-0.426	-0.515	0.0698	-1.63	0.477	-0.526	-0.217	-1.48	-1.51	-0.404	0.764	 1.23	0.863	-0.349	0.962	 1.31	0.764	-0.647	-0.371	-0.471	-0.592	-1.07	-0.79	-0.713	-0.834	 -1.4	-0.0515	-1.07	0.565	-0.889	-0.713	-0.977	 0.51	 2.04	 1.82	 1.43	-0.0845	-0.305	0.554	-0.272	-1.82	 2.96	 2.15	0.411	0.488	0.114	0.433	-0.471	0.554	-1.09	-0.493	-0.493	-0.922	0.0698	0.786	0.609	0.312	-0.79	-0.25	-0.0515	-0.25	-0.382	 1.56	 4.02
YAL058W	0.0164	-0.521	 1.14	0.286	0.458	0.384	0.286	0.825	 1.22	0.286	 2.27	 1.39	0.335	0.335	 1.14	 1.36	-0.277	0.458	-2.09	-0.399	-0.839	0.163	0.0653	-0.839	-0.644	-0.277	-0.448	-0.521	-0.937	-0.252	-1.11	-0.619	-0.00805	0.0164	0.286	-1.06	-1.65	-0.277	0.163	-0.448	0.188	0.0898	-0.839	0.237	-0.35	-0.35	-2.21	0.458	-0.0815	0.188	-1.28	-1.72	-1.16	0.163	0.0898	-0.155	0.384	 1.41	 2.52	-0.0815	0.825	 1.31	 1.44	 1.73	 -1.6	-1.72	-1.77	 -1.6	-0.204	0.384	 2.89	-0.204	0.188	0.825	 0.58	0.188	-0.399	0.163	-0.155
